timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
2271,0.043,-0.483,10.079,-0.012,0.006,-0.026,26.219
2281,0.057,-0.483,10.079,-0.012,0.006,-0.027,26.234
2291,0.053,-0.488,10.064,-0.012,0.005,-0.027,26.234
2301,0.043,-0.502,10.079,-0.013,0.006,-0.026,26.250
2311,0.043,-0.493,10.083,-0.013,0.006,-0.027,26.250
2321,0.024,-0.493,10.102,-0.012,0.005,-0.027,26.273
2331,0.067,-0.493,10.093,-0.012,0.007,-0.026,26.273
2341,0.043,-0.502,10.083,-0.012,0.007,-0.026,26.223
2351,0.043,-0.488,10.088,-0.012,0.006,-0.026,26.223
2361,0.033,-0.493,10.093,-0.012,0.006,-0.027,26.266
2371,0.077,-0.498,10.083,-0.012,0.006,-0.027,26.266
2381,0.072,-0.488,10.083,-0.012,0.006,-0.027,26.250
2391,0.077,-0.502,10.112,-0.012,0.006,-0.027,26.250
2401,0.057,-0.488,10.074,-0.012,0.006,-0.027,26.246
2411,0.053,-0.493,10.064,-0.012,0.006,-0.026,26.246
2421,0.072,-0.507,10.102,-0.012,0.006,-0.027,26.223
2431,0.053,-0.493,10.093,-0.012,0.006,-0.027,26.223
2441,0.038,-0.512,10.079,-0.012,0.005,-0.026,26.277
2451,0.053,-0.483,10.093,-0.012,0.005,-0.027,26.277
2461,0.057,-0.488,10.069,-0.012,0.005,-0.027,26.219
2471,0.053,-0.502,10.107,-0.013,0.006,-0.027,26.219
2481,0.033,-0.507,10.102,-0.013,0.006,-0.026,26.250
2491,0.038,-0.488,10.074,-0.013,0.006,-0.027,26.250
2501,0.048,-0.493,10.079,-0.012,0.006,-0.027,26.246
2511,0.053,-0.502,10.083,-0.011,0.006,-0.027,26.246
2521,0.057,-0.507,10.102,-0.012,0.006,-0.027,26.191
2531,0.057,-0.479,10.079,-0.012,0.006,-0.027,26.191
2541,0.062,-0.512,10.117,-0.012,0.006,-0.027,26.223
2551,0.048,-0.498,10.093,-0.012,0.005,-0.027,26.223
2561,0.048,-0.488,10.102,-0.012,0.006,-0.027,26.230
2571,0.053,-0.493,10.088,-0.012,0.006,-0.027,26.230
2581,0.057,-0.498,10.088,-0.012,0.005,-0.027,26.242
2591,0.067,-0.502,10.093,-0.011,0.006,-0.027,26.242
2601,0.067,-0.502,10.102,-0.012,0.006,-0.027,26.258
2611,0.057,-0.502,10.074,-0.012,0.006,-0.027,26.258
2621,0.048,-0.488,10.083,-0.012,0.006,-0.027,26.211
2631,0.043,-0.498,10.083,-0.011,0.005,-0.027,26.211
2641,0.043,-0.493,10.074,-0.012,0.006,-0.026,26.266
2651,0.038,-0.464,10.083,-0.012,0.005,-0.026,26.266
2661,0.048,-0.488,10.107,-0.013,0.006,-0.027,26.250
2671,0.057,-0.498,10.069,-0.011,0.006,-0.027,26.250
2681,0.057,-0.488,10.093,-0.012,0.006,-0.027,26.254
2691,0.072,-0.479,10.088,-0.012,0.006,-0.027,26.254
2701,0.053,-0.479,10.079,-0.012,0.006,-0.027,26.234
2711,0.057,-0.493,10.098,-0.013,0.006,-0.027,26.234
2721,0.062,-0.493,10.079,-0.012,0.005,-0.027,26.227
2731,0.029,-0.498,10.093,-0.013,0.005,-0.027,26.227
2741,0.043,-0.493,10.102,-0.012,0.006,-0.027,26.227
2751,0.062,-0.474,10.088,-0.012,0.006,-0.027,26.227
2761,0.053,-0.488,10.069,-0.012,0.007,-0.027,26.273
2771,0.053,-0.493,10.083,-0.013,0.006,-0.026,26.273
2781,0.067,-0.488,10.088,-0.011,0.006,-0.026,26.270
2791,0.072,-0.488,10.098,-0.012,0.006,-0.027,26.270
2801,0.057,-0.483,10.102,-0.012,0.007,-0.027,26.250
2811,0.053,-0.498,10.074,-0.012,0.006,-0.027,26.250
2821,0.053,-0.488,10.064,-0.012,0.006,-0.027,26.281
2831,0.057,-0.498,10.088,-0.012,0.005,-0.027,26.281
2841,0.048,-0.493,10.064,-0.012,0.005,-0.026,26.273
2851,0.067,-0.474,10.117,-0.012,0.004,-0.027,26.273
2861,0.072,-0.488,10.131,-0.012,0.007,-0.027,26.238
2871,0.077,-0.474,10.064,-0.013,0.004,-0.027,26.238
2881,0.086,-0.498,10.102,-0.012,0.009,-0.027,26.246
